# 人类样本候选 —— sweep_window 探针排名（全窗口口径）
# 探针: 24 段 × 16800 块，按命中数排名取前 7500
# 判据: 收到散播型热钱包转账 + 探针段内有自发交易 + 非他组标签
# 🔴 反循环: 只看活动量，绝不看时间分布（entropy 特征保持独立证据）
# 🔴 正式采集覆盖窗口的 100% ⇒ 入选者约需全窗口 ≥20 笔，样本构成偏向常用钱包（论文需交代）
address,source,note
0x71d9f70284c687335bcb2b9eba9453a28742d7bb,base_cex_withdrawal,hits=146;wd=1225
0x53dc52a8c8985fccc0d2b969c436d204873d652a,base_cex_withdrawal,hits=144;wd=16
0x039ac6fbcebf02b54259bc690e13540693d9eb8d,base_cex_withdrawal,hits=140;wd=193
0xb757b39a43d02bd192786b22f98fa9626fe2dedb,base_cex_withdrawal,hits=140;wd=7
0x0c2cb49a6884c460ef32888f197aa56149b19647,base_cex_withdrawal,hits=139;wd=51
0x221da353257b8d93117845a9467005e9e4fe2c02,base_cex_withdrawal,hits=135;wd=12
0x750f2f40e7bb05ce9d2747c5bb8da35f188a46c4,base_cex_withdrawal,hits=135;wd=27
0x54f893ace7b7a73bf577a5513b6c3f24e7a17322,base_cex_withdrawal,hits=134;wd=22
0x4ceb110edc275270f685d7f6e16e29c3d34a59d2,base_cex_withdrawal,hits=131;wd=8
0xc34bf9d7eb6a9987c2e8fd1e6dd89b723d411621,base_cex_withdrawal,hits=130;wd=12
0x6c1864c54160cf5e593e1b2deb890bea49403172,base_cex_withdrawal,hits=130;wd=31
0x306e3f03b9aa42e52ea9418783b4360836ee81cd,base_cex_withdrawal,hits=128;wd=31
0x9f0b235d54bd50a5edf38e5f65074dab4c75b1e9,base_cex_withdrawal,hits=128;wd=8
0xf439c93c292e42c9e6780ee96777bf7b44ca7de3,base_cex_withdrawal,hits=128;wd=12
0xf32bc55d95d41536d72b7fda5f8aa4791fde780b,base_cex_withdrawal,hits=127;wd=25
0x6b671cfa2619790c861fd3b4b3cb3ae5a78ee3fc,base_cex_withdrawal,hits=126;wd=15
0xb07a5655097ed85add9dea83fa066b6f5c34ff53,base_cex_withdrawal,hits=124;wd=10
0xb3a27ac343bbff789a61810e653b675e182f77d9,base_cex_withdrawal,hits=124;wd=28
0x237c6bd2c383bfd1b91574bf79517471a3106c9a,base_cex_withdrawal,hits=124;wd=34
0x17d518736ee9341dcdc0a2498e013d33cfcdd080,base_cex_withdrawal,hits=124;wd=7
0xeb256fe71ed492dc4d03ea0b9152d3997bb83c58,base_cex_withdrawal,hits=123;wd=23
0xee8bd6263f94d61d77d0ceb12275808826ff0ae4,base_cex_withdrawal,hits=122;wd=13
0x703ce76b3f2f3a2a8585fa219853f7f5fdb2c6a8,base_cex_withdrawal,hits=122;wd=27
0xbc3ac7d42a48550d84e500f68fec406f9a6d74c0,base_cex_withdrawal,hits=121;wd=114
0x3670a2e117a463a25de0c21ee0b89068d722c15b,base_cex_withdrawal,hits=121;wd=22
0x8117fe27ee1d9c4a58d376f24c28318fe8f89898,base_cex_withdrawal,hits=121;wd=13
0xd3f1ec6b3802a7afe5e03a8b00654fa22455ff90,base_cex_withdrawal,hits=119;wd=25
0xaae415992e62228b30a1dd25842cbaca75f8de0a,base_cex_withdrawal,hits=118;wd=16
0x3d6c136362a391602eaea78980c9efe7939c2bab,base_cex_withdrawal,hits=117;wd=26
0xdd680933a37b2014a77482ae51b22b68ed1c2996,base_cex_withdrawal,hits=116;wd=11
0x8af743608c1f0634135c8a1613932930be7c286f,base_cex_withdrawal,hits=116;wd=13
0xdefe47617bf5e649915232faf7953bc6029c51b7,base_cex_withdrawal,hits=115;wd=68
0x0a65c215ce8abc782a4b763fffa10a41652ac42c,base_cex_withdrawal,hits=114;wd=11
0x91f4b5130794fcf36254a43af95361321d81ed0a,base_cex_withdrawal,hits=113;wd=8
0xaa632d0bdda4d6a594470e0ec08787eacdf2f5bb,base_cex_withdrawal,hits=113;wd=19
0xeeecdf9946583e1624244df5fc399121dfb4604e,base_cex_withdrawal,hits=111;wd=34
0x50518e52ab5d8e69186bd0eddd26be6a6d312e5c,base_cex_withdrawal,hits=110;wd=27
0x39282d686c819ed8b5262bca5184132f9d9895ca,base_cex_withdrawal,hits=110;wd=14
0xadcb4fe3c14113a5d75b30051f7bf50037073879,base_cex_withdrawal,hits=109;wd=10
0x4c855204c4eed411a03d20ace673d08837a8f5ee,base_cex_withdrawal,hits=109;wd=313
0xc2e1eb00e2339446e01ab6f355dddee5a77be581,base_cex_withdrawal,hits=109;wd=26
0x51260a392e6416e2e07caa816f17234f372d6e7b,base_cex_withdrawal,hits=108;wd=61
0x01aa2117a9db567c2a61681ab67d03a1aeb8c841,base_cex_withdrawal,hits=105;wd=13
0x9d3976c25f4defe584ed80bae5a7cef59ba07aa5,base_cex_withdrawal,hits=105;wd=15
0xb3294f3dc6d908916bd4079d7598411d39467f1d,base_cex_withdrawal,hits=104;wd=51
0x302a6e2774a4dc6f2c7ecfbea9168abb7ccede06,base_cex_withdrawal,hits=104;wd=8
0x1cf6eee53da113ce4fc8dd3753b40476558cbc0c,base_cex_withdrawal,hits=103;wd=76
0xd222372f76d5558fec78aca73ad6f4ce81133a06,base_cex_withdrawal,hits=102;wd=18
0x8a0c098e896fa309828a35ce714403d23cbbcf3a,base_cex_withdrawal,hits=101;wd=35
0x02711c18544f113a5609c26ee136db95ec50387b,base_cex_withdrawal,hits=101;wd=17
0x14fe3f2889cd05977ad4e2508e44cb0f3d7f56bb,base_cex_withdrawal,hits=99;wd=13
0xac82362174a32fbbad61efcb0f02b9016b20c768,base_cex_withdrawal,hits=98;wd=57
0x6b8760d15f46d57ea524a9af7b47d251257475da,base_cex_withdrawal,hits=98;wd=22
0x09a3bf35590488f178e2fa0ce855b10db28cd64c,base_cex_withdrawal,hits=97;wd=177
0xb4b35d7ba2a507eba7d15b06fdded697e33189e2,base_cex_withdrawal,hits=97;wd=9
0x3c7459d480df4bb0150f6bad170855e9717a3480,base_cex_withdrawal,hits=96;wd=48
0x03ac494ba8ed655323d00b3ff733c867527fe3ed,base_cex_withdrawal,hits=96;wd=11
0x83525b2783fb2dccaf7ae5b2551fbd995dd27309,base_cex_withdrawal,hits=96;wd=13
0x9366599127e94d319f9a35ba144d0f1c2d24b976,base_cex_withdrawal,hits=95;wd=16
0xb6fbfac38940a607671787b3ee7c464b347eec7e,base_cex_withdrawal,hits=95;wd=9
0x4d14dfa503cedf1c25d2225754822ce69b8843de,base_cex_withdrawal,hits=95;wd=43
0xccbd3f736c317b280e938f2896ebe4c7a633e979,base_cex_withdrawal,hits=95;wd=47
0x64aeb121fc52446a54f5ceec5cb029b0c638937b,base_cex_withdrawal,hits=94;wd=8
0xc0229733799a32fcbda487554867239b341bf958,base_cex_withdrawal,hits=94;wd=9
0x2000c13e94f45ba68ee3517adbe6ca382e6f0e20,base_cex_withdrawal,hits=94;wd=9
0x6bcfac402697587c0f31a9ad94e11a56d1680381,base_cex_withdrawal,hits=93;wd=790
0xf99c8873b972b4192e789f55ab954188d0d9a133,base_cex_withdrawal,hits=91;wd=8
0x838e2b62d26b081443a830262e71e958674a5af9,base_cex_withdrawal,hits=91;wd=65
0xd2602c7bdfc9f413974e944280bbfae275d1b1b6,base_cex_withdrawal,hits=90;wd=35
0xde632738c6a940394f2598e3613205789afaa9cc,base_cex_withdrawal,hits=90;wd=12
0x5350e5826fc7bf672436775049231cc66fdb2e78,base_cex_withdrawal,hits=90;wd=11
0xcfdf8fdbb68cd5f5b1a2d07a24bae43f77575d81,base_cex_withdrawal,hits=90;wd=28
0x2a55e68727eb3409947431e13d57c84ca2c5178e,base_cex_withdrawal,hits=89;wd=45
0x2322cc326c2e60ac5fd288508c658888efe615db,base_cex_withdrawal,hits=89;wd=8
0xc0251e954e67017ab5fde7bd2facd925e6778406,base_cex_withdrawal,hits=88;wd=32
0x88ca0e1c12c6e87f5b7b6475786e1982ac95092b,base_cex_withdrawal,hits=88;wd=100
0xdfbff2e5535a24e1c11b4c994f5eab08acd573ca,base_cex_withdrawal,hits=88;wd=10
0xc45517c817d483778fc8ad5ecd27a3a4745e6652,base_cex_withdrawal,hits=88;wd=21
0x72099133f9310c47b3543d6a9c3fef25dd7c71e3,base_cex_withdrawal,hits=88;wd=20
0x23f0d08797a87e63f55637b02ef25361290d52e4,base_cex_withdrawal,hits=87;wd=13
0x8f8d28918f61317de14c93dc9bae8dfed4e2f11d,base_cex_withdrawal,hits=87;wd=68
0x8a1221b0dddcb9893f29544d25a79529efa8d6f7,base_cex_withdrawal,hits=87;wd=17
0xc1ba166cc2c249816db1e9d543368d80095ea33f,base_cex_withdrawal,hits=86;wd=11
0x93632628516a47cbf059db47426ff83e0969ec74,base_cex_withdrawal,hits=86;wd=12
0xf66d4094d0c66fc43494b453008f6853b4a45c89,base_cex_withdrawal,hits=85;wd=22
0x39a704457c767010e1f480c5dd483f73b7182adc,base_cex_withdrawal,hits=85;wd=81
0x7f3d3f7495e033d8cd17bdeb08b70102572db7a6,base_cex_withdrawal,hits=85;wd=8482
0xc6276b8c083d5bbfe3e7cd91d7ed1a8dc9ae7cca,base_cex_withdrawal,hits=84;wd=243
0xc6048e46b00ef5473f95f66627140418bbc29b3d,base_cex_withdrawal,hits=84;wd=8
0xc4a017e8ad931fc55be0c6c7af02a70c3171909e,base_cex_withdrawal,hits=84;wd=44
0x9037e6b3e1d7c87fc539c8d5e0452d02b35892bb,base_cex_withdrawal,hits=84;wd=36
0x057048197ff499d1f3111b05a1c6e9db9b27eea9,base_cex_withdrawal,hits=84;wd=15
0x05a0bf101db0696ed4e1a46583c8533a94ac1141,base_cex_withdrawal,hits=84;wd=32
0x85ca0dff027102ea3fbf1c077524eab21d1f7927,base_cex_withdrawal,hits=83;wd=18
0x7254ec26124d846c2be75d4505b5d4a83ecfeb2e,base_cex_withdrawal,hits=83;wd=46
0x25e58696fbc8eb88301ee06a57f77d9f0715ec97,base_cex_withdrawal,hits=83;wd=7
0xef9ad431595c5e81a82f1d13ae3fbab306a38fb4,base_cex_withdrawal,hits=83;wd=35
0xda4ecf93f4ff9aa1f868a39c5520d29e1a9f07de,base_cex_withdrawal,hits=83;wd=26
0xcab19ce32b92898d572aa4261e4a2b968a0d273e,base_cex_withdrawal,hits=83;wd=11
0x102232dfd9152795687f4d9274aa0e716a607c53,base_cex_withdrawal,hits=82;wd=33
0xa599f10539a70e02f2f7656c22e3f1674de0e3bf,base_cex_withdrawal,hits=81;wd=36
0xacd2ac03ad7e0c89103083be640d911ed076d53e,base_cex_withdrawal,hits=81;wd=32
0x376e2f9c8445b7b467a93a7b2afbd174ffbf54ff,base_cex_withdrawal,hits=80;wd=38
0x84c3709d0d86dc716ad6c707d557eae0d19fab63,base_cex_withdrawal,hits=80;wd=37
0x1bf59b23ee36d242320523bdbd4de2a6706f69bf,base_cex_withdrawal,hits=80;wd=32
0x1b2908a47d660a069e21cd474a2386223014bc99,base_cex_withdrawal,hits=80;wd=34
0x530f102e503320876373e7190694c5412ae0ba2d,base_cex_withdrawal,hits=79;wd=8
0x9d5ed9f04808b87190a54696cfeeea841cecddba,base_cex_withdrawal,hits=79;wd=28
0x16f02535f73cd76deded1eacc8f3fe7cf030a3a4,base_cex_withdrawal,hits=79;wd=44
0x00e527cf1f4fdb4c79744f1e49cbb1ed2b8e63ba,base_cex_withdrawal,hits=79;wd=12
0x394f83fa712dc8c5756d8c80a9f38b5ce0933bbc,base_cex_withdrawal,hits=79;wd=18
0x790898c7f45cc6b746844256340b740c3802d778,base_cex_withdrawal,hits=79;wd=37
0x3b07c12f8497b67c767a74305739b4432315aaee,base_cex_withdrawal,hits=79;wd=47
0xbb0681e131d704cb86bda625a730c7866e262a3a,base_cex_withdrawal,hits=78;wd=61
0x39b65819bbd00e1dbc5638c1737b60d787d398d1,base_cex_withdrawal,hits=78;wd=19
0xee1b5b72ddfbee56113efcfc17b8405ee3ffd1db,base_cex_withdrawal,hits=78;wd=41
0xea213bfd6ba3878983d68192ed5086880e3e4b79,base_cex_withdrawal,hits=78;wd=45
0x88fd9cd51d4a6f75d795d8fb2ac27d66f8a7a17f,base_cex_withdrawal,hits=77;wd=8
0x0e06913ec1d64be08442ca601458e80d87d6ced3,base_cex_withdrawal,hits=77;wd=35
0xc096d2e74c2d17fff9b290fc7f53fd07539844f1,base_cex_withdrawal,hits=77;wd=32
