# 由 agent_fingerprint/src/data_fetch 生成
# 时间: 2026-09-12 16:37:12
# human 候选池（热钱包提币接收方，待探针筛活跃度）
# 全部接收方 2,316,827 个，按收到提币次数降序预排序取 15,000 个进探针
# 🔴 只按活动量筛，不看时间分布（反循环设计）
# 区块 42755201-50819862 | seed=42
address,source,note,n_from_cex
0x3c7d78eb821b454c996ed523fc961a27f92bc525,base_cex_withdrawal,wd=359,359
0x4549fbf04c84aac0d6ab50fb6e19b2c231415390,base_cex_withdrawal,wd=359,359
0x0e3eb60df4d14b213dc4de53316ed7bcd4aadc87,base_cex_withdrawal,wd=359,359
0x9c97ee995ee9d19f5afbb2bd979c6ede03000e7f,base_cex_withdrawal,wd=357,357
0x668001289b9da5a23840a6d4fa195d977f23bb3b,base_cex_withdrawal,wd=355,355
0xa2609b702cf7f77f384c00bf36826c287741b579,base_cex_withdrawal,wd=352,352
0xd840dbe718abc46c6c7704bd7ff16e69a23d37ba,base_cex_withdrawal,wd=349,349
0x4e23424b3c635ec2cad284787467b1700517421d,base_cex_withdrawal,wd=346,346
0xcb0f8e62a219381a144fef9e80236da0cba8beca,base_cex_withdrawal,wd=344,344
0xc78304acdf1f0d62b51441a38e5c1bab78f03f7a,base_cex_withdrawal,wd=343,343
0xcfb481dad0a5acf826e317b4423ee6f0cd3876c4,base_cex_withdrawal,wd=342,342
0x5087043bb9490e6ea84a324a104b03c4e00dc3e6,base_cex_withdrawal,wd=341,341
0xe713fb0307f87234913146aa950cb50c0737b564,base_cex_withdrawal,wd=337,337
0x016344b1a4f5242e03e9aa2f9fd415de8af184bd,base_cex_withdrawal,wd=334,334
0xc2733092f45463a57511ffe3d59fe058daf1624c,base_cex_withdrawal,wd=327,327
0xf5607a4b0b121d2e33e0a1a8ec58fdf54da7abc7,base_cex_withdrawal,wd=324,324
0x3670c24c68f199076691ebbd3f83cd95a7c29707,base_cex_withdrawal,wd=320,320
0x4c855204c4eed411a03d20ace673d08837a8f5ee,base_cex_withdrawal,wd=313,313
0x6ff5693b99212da76ad316178a184ab56d299b43,base_cex_withdrawal,wd=313,313
0x86835cdc7ec0e85e66366bcabff671a5cb0d8714,base_cex_withdrawal,wd=309,309
0x8c87c95ecd733baa7f8a419fc655c8a8b027c1a5,base_cex_withdrawal,wd=308,308
0x0febdf744f2b82016a0b8c42b8a5f34507e2aeab,base_cex_withdrawal,wd=307,307
0x5638604d86fa995d5e311659e6e6c850f48ef361,base_cex_withdrawal,wd=307,307
0x7500a83df2af99b2755c47b6b321a8217d876a85,base_cex_withdrawal,wd=304,304
0x80ce20a7608252936730f5b91ba907310fc41a7d,base_cex_withdrawal,wd=293,293
0xf3a52698b71fe753c3e6710e47359b43a82b12fb,base_cex_withdrawal,wd=293,293
0x2c7dc33e13f79af4cdb49131d461c096776ff6b0,base_cex_withdrawal,wd=292,292
0xa821f2ee19f4f62e404c934d43eb6e5763fbdb07,base_cex_withdrawal,wd=282,282
0x54148d6e22a8f00a42b389c78a34743b8e7ff06c,base_cex_withdrawal,wd=282,282
0x67b20f5366078f284bf9679ad5ad5d5c38d5dec0,base_cex_withdrawal,wd=281,281
0x9c06d60de171eae07f4ba60a10468d140d052f8e,base_cex_withdrawal,wd=280,280
0x4409921ae43a39a11d90f7b7f96cfd0b8093d9fc,base_cex_withdrawal,wd=272,272
0x8878864b64e8dc29bfe3d0eed42f33a89149b413,base_cex_withdrawal,wd=270,270
0xeb6694d1e754a6ea764002b4af467f7cfc1b0246,base_cex_withdrawal,wd=270,270
0x7a2fa62b8f359cf45855c50f2c42cc6600583b43,base_cex_withdrawal,wd=270,270
0x98a302d1a5865988e821e9eb947fe75214af8ef6,base_cex_withdrawal,wd=268,268
0x93e6e5386225afd0965d20162f819827cdd6c524,base_cex_withdrawal,wd=264,264
0x68a312be75ce4478fdd04e0414b6cc141a804a49,base_cex_withdrawal,wd=263,263
0xfda15ae68d95f8b6912870f676a0d19ca7c684ba,base_cex_withdrawal,wd=261,261
0x1200e26f1c40a0d3eb66408307287cb762064776,base_cex_withdrawal,wd=255,255
0x19fb130387944cd8f97232bb5068ab021f0567c6,base_cex_withdrawal,wd=255,255
0x1eb37a00c5d45848b5a4af158967a3da01602f5d,base_cex_withdrawal,wd=254,254
0xeadeb80a47903ac740dca9873bb8c6bde1a40ddc,base_cex_withdrawal,wd=254,254
0x5fba072f933ad82ef3d79749216ce76dca62fcd8,base_cex_withdrawal,wd=254,254
0x0dfb4941f5c74e8b4698fecbc74d782853e087ef,base_cex_withdrawal,wd=252,252
0x304e28d81b8b6962916a4a5b6a7717547836e2b8,base_cex_withdrawal,wd=252,252
0x021dbbef834b91234f81217b0e74e112654fd85e,base_cex_withdrawal,wd=252,252
0x9452a94e92d3bf33f5f441c1b6dc4be58d1967f5,base_cex_withdrawal,wd=251,251
0xf60f689ec22fc2d485b3c734efe58538ccc28766,base_cex_withdrawal,wd=251,251
0x4b518574da1f32d0b245caeb71f9c77b51a3ff8a,base_cex_withdrawal,wd=249,249
0x0c7d8b0065edf8585f82f318c00c779d71ab7319,base_cex_withdrawal,wd=247,247
0xe219343e6dddd9d82ad44cac95a11111e5ec31a1,base_cex_withdrawal,wd=243,243
0xc6276b8c083d5bbfe3e7cd91d7ed1a8dc9ae7cca,base_cex_withdrawal,wd=243,243
0xa8e2f506adcbbf18733a9f0f32e3d70b1a34d723,base_cex_withdrawal,wd=240,240
0x0e391c4f90b356613c19ee988debf182151dbd3f,base_cex_withdrawal,wd=240,240
0xf1dc6c5bd9914e06d45ecb99e62ab13f70bbf4a8,base_cex_withdrawal,wd=239,239
0x7cb01030359378d2a327af5b1ee740af856e064e,base_cex_withdrawal,wd=239,239
0xece7de3641736c883085556059c8c48bb6376116,base_cex_withdrawal,wd=238,238
0xde37657e061e28c84c84a9a931ce872cb0590204,base_cex_withdrawal,wd=238,238
0x38f3cdef75b5332c1aeaf00dc08cdb8c2880b7b2,base_cex_withdrawal,wd=238,238
0x4d680177b35df07cc1a7616dfd90b290f7ab74e0,base_cex_withdrawal,wd=237,237
0x41fbba5cb38d22b2d80606406944cedd7c97f6f9,base_cex_withdrawal,wd=237,237
0x2eee99cbd248c886c933ee85ef13f8a88d80cc41,base_cex_withdrawal,wd=235,235
0x6f468276e292e193c37f17550bc03e64252e7b4f,base_cex_withdrawal,wd=234,234
0x99f4929d64a24b6da23b287aa42528eb0623da8b,base_cex_withdrawal,wd=234,234
0x9c5e676914d6d9707a587dbaf4fe524c678d4b51,base_cex_withdrawal,wd=234,234
0x17b21ab9ed9e0a0f58840125f859f5061c42be8d,base_cex_withdrawal,wd=234,234
0xaa875eb8a07b0ae354e7c5dc2d04b302777431b1,base_cex_withdrawal,wd=232,232
0x86671926bdb6631b29893d0ea1dbdf9a45616874,base_cex_withdrawal,wd=232,232
0x0a60c0f89a100c034296a6bcc1b17244bda61dde,base_cex_withdrawal,wd=232,232
0x9dabd46fa2f93b3ae00fabb279e786c3ecf3fd54,base_cex_withdrawal,wd=232,232
0x678c57a24d3effa836adc2b1fcab81447c55504c,base_cex_withdrawal,wd=229,229
0xdf2b673ec06d210c8a8be89441f8de60b5c679c9,base_cex_withdrawal,wd=229,229
0x15df7dee025cdf52bf841e4859a58192d78fb1cf,base_cex_withdrawal,wd=229,229
0x43fd53bc5d764b7ad1b31556de280343dcc991cf,base_cex_withdrawal,wd=228,228
0x59b91454066734b19eca69c5aa0d9be8f5489c37,base_cex_withdrawal,wd=227,227
0xee27a14d66d97eb687a86575611ef09636d2a344,base_cex_withdrawal,wd=227,227
0x3c9fd7359524c4de5533b163d8272961d111de0c,base_cex_withdrawal,wd=227,227
0x2e7e86ef467aece5777177864e650179cf03e9aa,base_cex_withdrawal,wd=226,226
0x8b7d3b8d2cb234ac16f3af4ac042c55f402092ef,base_cex_withdrawal,wd=225,225
0x7d7f0402f6e17a1d387d4f58aaf6521ce858cc01,base_cex_withdrawal,wd=224,224
0x3d17e56b8a0ebc2ce4bd7a961438380bb4cb63ad,base_cex_withdrawal,wd=224,224
0x7420527bb758d293c2720b6fc375f7f9116e24b9,base_cex_withdrawal,wd=224,224
