# 由 agent_fingerprint/src/data_fetch 生成
# 时间: 2026-09-12 01:29:56
# x402 Facilitator/提交者画像（采样切片配对金额）
# kind=x402: 均单 ≤$5（微支付网关）
# kind=retail: 均单 ≥$20（零售中继，其付款方大概率不是 agent）
# 🔴 这些地址必须从 agent 样本中排除；retail 型用于装配端剔除被污染的付款方
# 窗口 42755201-50819862 | 6 切片 × 3000 块
address,source,note,n_settled,avg_usd,n_payers,kind
0x40272e2eac848ea70db07fd657d799bd309329c4,x402_facilitator,settled=16 avg=$0.1307 payers=3 kind=x402,16,0.130656,3,x402
0x402f5ac4aa2648a732a72c1b7354877eb3a4dff9,x402_facilitator,settled=16 avg=$0.3000 payers=3 kind=x402,16,0.3,3,x402
0x950158b9be56b9893c77089e129b73ea62bbc677,x402_facilitator,settled=16 avg=$0.0100 payers=14 kind=x402,16,0.01,14,x402
0x4a15fc613c713fc52e907a77071ec2d0a392a584,x402_facilitator,settled=15 avg=$0.0033 payers=2 kind=x402,15,0.003343,2,x402
0x3e32f4746f22499ae938fa956b6fc259dc0b3ce7,x402_facilitator,settled=14 avg=$3.7143 payers=12 kind=x402,14,3.714286,12,x402
0x636678e4be5598f345e6c262f4798d7f1bd3f1e2,x402_facilitator,settled=13 avg=$0.0483 payers=8 kind=x402,13,0.048317,8,x402
0x1892f72fdb3a966b2ad8595aa5f7741ef72d6085,x402_facilitator,settled=13 avg=$0.0100 payers=1 kind=x402,13,0.01,1,x402
0x97316fa4730bc7d3b295234f8e4d04a0a4c093e8,x402_facilitator,settled=12 avg=$5.0000 payers=8 kind=x402,12,5.0,8,x402
0x08ff4eb256ecd6a48326ee3e77ff94191629bb06,x402_facilitator,settled=12 avg=$0.1095 payers=4 kind=x402,12,0.109461,4,x402
0x5d34274622888ff179d4e726fe74a98b08a8be69,x402_facilitator,settled=12 avg=$0.0100 payers=1 kind=x402,12,0.01,1,x402
0xee6795fb34e94648e1a21805e75f92315321a36e,x402_facilitator,settled=12 avg=$1.0000 payers=12 kind=x402,12,1.0,12,x402
0xa46e25ec7abfc3595b8cc823e14f8f683628ec94,x402_facilitator,settled=11 avg=$0.1270 payers=4 kind=x402,11,0.127001,4,x402
0x17fe88239f73908a40de48ff202dca2a6819fc18,x402_facilitator,settled=11 avg=$1.0000 payers=1 kind=x402,11,1.0,1,x402
0x03ea198037d2415010acd560f0fb5b703b90c2d4,x402_facilitator,settled=10 avg=$0.0013 payers=1 kind=x402,10,0.00127,1,x402
0x58fe7f29a565c3add3cd849f226190b36b15153b,x402_facilitator,settled=9 avg=$0.0915 payers=5 kind=x402,9,0.091543,5,x402
0x7f1693cf2bd99b30c8f21fd6802b39d4bd6855b4,x402_facilitator,settled=9 avg=$0.1436 payers=6 kind=x402,9,0.143647,6,x402
0xe528637bcc501a587a1bec2beebc8f92942fc028,x402_facilitator,settled=9 avg=$151.4043 payers=8 kind=retail,9,151.404302,8,retail
0xa54dc4425190570cb5c841adf445bbecf3b249f5,x402_facilitator,settled=9 avg=$20.3767 payers=1 kind=retail,9,20.376696,1,retail
0x194e2644dc76f89a26c7e3b7f0aed752a99737a5,x402_facilitator,settled=9 avg=$0.0133 payers=1 kind=x402,9,0.013333,1,x402
0x7af0ebea25a2b0ede2cdd50c4c4899bc6eda904c,x402_facilitator,settled=9 avg=$0.0133 payers=1 kind=x402,9,0.013333,1,x402
0x12a9a43b97985f160b1ca4f28b4bb8fe359aa21b,x402_facilitator,settled=8 avg=$0.0010 payers=1 kind=x402,8,0.001,1,x402
0xbe537346a49c936a4349086cb71a05040f51e902,x402_facilitator,settled=8 avg=$0.1061 payers=5 kind=x402,8,0.10613,5,x402
0x23ef604850b11edc2bd0ef02c0981082c1a52431,x402_facilitator,settled=8 avg=$52.9575 payers=8 kind=retail,8,52.957474,8,retail
0xa23d96c5614d4ca7650d506ce2a06738575251ed,x402_facilitator,settled=8 avg=$0.0500 payers=1 kind=x402,8,0.05,1,x402
