# 由 agent_fingerprint/src/data_fetch 生成
# 时间: 2026-09-12 16:37:10
# x402 付款方（agent 弱正样本，真值质量 ★★）
# ★ 全窗口 AuthorizationUsed 扫描（sweep_window main 趟）
#   去重付款方 504,668 个，其中窗口内 ≥20 次的 23,897 个（低于门槛的不写入）
# avg_usd=-1: 金额提纯改用提交者画像（fetch_x402 --profile，见 x402_facilitators.csv）
# 区块 42755201-50819862
address,source,note,n_payments,avg_usd,n_sellers,bad_share,top_submitter
0x1f0567299eacca34987078275e08659be930155d,x402_payer,n=24395 span=104d bad=0 submitters=20,24395,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0x0ff158d37bd1ffc7c21633cf30c7f301fc4318b5,x402_payer,n=24150 span=61d bad=0 submitters=5,24150,-1,-1,0.0,0x97acce27d5069544480bde0f04d9f47d7422a016
0xd5290e4f48ac9d40cf5324581c22647629463377,x402_payer,n=24075 span=61d bad=0 submitters=5,24075,-1,-1,0.0,0x68a96f41ff1e9f2e7b591a931a4ad224e7c07863
0xa642526f6ced234c60ed6ee9e820436936f82ebc,x402_payer,n=23973 span=31d bad=0 submitters=20,23973,-1,-1,0.0,0x68a96f41ff1e9f2e7b591a931a4ad224e7c07863
0x6d46c65667687ddb776733832d1233c2ba1a6659,x402_payer,n=23896 span=61d bad=0 submitters=5,23896,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0xa9c424d119323495c3260ef16c7813a1133cd84e,x402_payer,n=23658 span=162d bad=0 submitters=20,23658,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0x1de6b1b8c71ee5b841707d01e91cf0b6dc371bc4,x402_payer,n=23310 span=115d bad=0 submitters=20,23310,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0x128c31980d4996f6688ce74c2cf1dc7c5bed1d48,x402_payer,n=22320 span=52d bad=0 submitters=5,22320,-1,-1,0.0,0xa32ccda98ba7529705a059bd2d213da8de10d101
0x4732a76d44f39c107f3f9318da23a6178287c666,x402_payer,n=22269 span=7d bad=0 submitters=20,22269,-1,-1,0.0,0x67b9ce703d9ce658d7c4ac3c289cea112fe662af
0xe63e151504da0a1b07a31a72dbabda6240359893,x402_payer,n=21557 span=185d bad=0 submitters=21,21557,-1,-1,0.0,0xaa0df01e4d11decf2ad2c459c81d3a495e4f1925
0x99933c242eaee4315a82b879a8bf0bf0dbab55a5,x402_payer,n=21523 span=26d bad=0 submitters=20,21523,-1,-1,0.0,0xa32ccda98ba7529705a059bd2d213da8de10d101
0x447e981bd3d8267499860ff0f9afbc9f8ffcc514,x402_payer,n=21496 span=8d bad=0 submitters=5,21496,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0x9d941731c68d1c7e6a98f5f31fd45695d2c9a436,x402_payer,n=21180 span=58d bad=0 submitters=20,21180,-1,-1,0.0,0x68a96f41ff1e9f2e7b591a931a4ad224e7c07863
0x41cdc787ab6a0ee5fae609ab085120477db4f3a5,x402_payer,n=21163 span=58d bad=0 submitters=20,21163,-1,-1,0.0,0x772003a2e9c2ccc8af956870a37a66f64f8cec38
0x0f862ad60d515c635b53c2cd49e6396baf1afa8a,x402_payer,n=21132 span=11d bad=0 submitters=20,21132,-1,-1,0.0,0x42dd53906b49c202e8e934b059dc019e04634b00
0x60420da2ab95245aaf0a9144536ede1a56d70923,x402_payer,n=20982 span=2d bad=0 submitters=20,20982,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0x2260f82cb1a220c7dddab63944d4e6783b1588f0,x402_payer,n=20944 span=54d bad=0 submitters=20,20944,-1,-1,0.0,0x67b9ce703d9ce658d7c4ac3c289cea112fe662af
0x8a38a79aa89f832c55a124ce8ff0205443fb8c5a,x402_payer,n=20526 span=9d bad=0 submitters=20,20526,-1,-1,0.0,0xb87e1a2cc2b4643f2892768e80e41167f17c5860
0x9c9391fcfb062b089ec54f80a577d91613f0dea6,x402_payer,n=19937 span=3d bad=0 submitters=5,19937,-1,-1,0.0,0xa32ccda98ba7529705a059bd2d213da8de10d101
0x274a61adda215d6e40aecf7f8f125a19ed2a3713,x402_payer,n=19807 span=74d bad=0 submitters=22,19807,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0x24dd3a9bf41b2dbfc17d7804251813ff6ebfeccb,x402_payer,n=19220 span=81d bad=1 submitters=13,19220,-1,-1,0.0001,0x68a96f41ff1e9f2e7b591a931a4ad224e7c07863
0xf8f7aade498c0ec952bcf672ddbad339f2ab0928,x402_payer,n=18973 span=6d bad=0 submitters=20,18973,-1,-1,0.0,0xe72f0af4cf41356d433723547f1412ca27fbb1b8
0xf8652e39b855bbb4915bb80bcce85ebc5ad0c0ef,x402_payer,n=18940 span=14d bad=0 submitters=20,18940,-1,-1,0.0,0xe72f0af4cf41356d433723547f1412ca27fbb1b8
